,,Kingdom,Phyla,Class,Order,Family,Genus,Species,Strain,,,,Strai,,,,,,,
1,05c5732b831fef94e68398c8c9b441c9,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,RS62 marine group,uncultured bacterium,05c5732b831fef94e68398c8c9b441c9,#3f8747,,,05c57,Gammaproteobacteria RS62 marine group ASV 05c57,,,,,,
2,093af645556b4d753378847f32456114,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,LiUU-11-161,,,093af645556b4d753378847f32456114,#cca333,,,093af,Bacteroidia Sphingobacteriales ASV 093af,,,,,,
3,095f9e0c806a5918bb36579eee024e2d,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,,095f9e0c806a5918bb36579eee024e2d,#b1b23a,,,095f9,Bacteroidia uncultured ASV 095f9,,,,,,
4,0be8037946badb1a6264cde06b6f60e9,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Marinomonadaceae,Marinomonas,,0be8037946badb1a6264cde06b6f60e9,#49c385,,,0be80,Gammaproteobacteria Marinomonas ASV 0be80,,,,,,4a03adafa93d3053366fde81669d4c1c
5,0d102db233504b33faacd6e8217d40d4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,0d102db233504b33faacd6e8217d40d4,#b6395d,,,0d102,Alphaproteobacteria Rhizobium ASV 0d102,,,,,,541aeda1c8e127e321a70e8b0ebb5732
6,0e8b3dc00ca97702cb7ac2e86e555557,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,,0e8b3dc00ca97702cb7ac2e86e555557,#2b6f4d,,,0e8b3,Gammaproteobacteria  ASV 0e8b3,,,,,,80f3e7582cfd9bed20d88efecd9c8f4d
7,0ed10e7340d899607a4be81bffa75215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,,0ed10e7340d899607a4be81bffa75215,#e03e5d,,,0ed10,Alphaproteobacteria Marivita ASV 0ed10,,,,,,8836e7175dad36aa23c94614e819d068
8,1a969fbdf674dcd4ae7dcfe6228b76ad,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Diplosphaera,,1a969fbdf674dcd4ae7dcfe6228b76ad,#d7408e,,,1a969,Verrucomicrobiae Diplosphaera ASV 1a969,,,,,,
9,2db5b39220fb438920ba7778bcf4bc3e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,2db5b39220fb438920ba7778bcf4bc3e,#a14d51,,,2db5b,Alphaproteobacteria Rhizobium ASV 2db5b,,,,,,
10,3cd7863b3a24b807deaf59bcae7b4889,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Methyloversatilis,,3cd7863b3a24b807deaf59bcae7b4889,#52a27c,,,3cd78,Gammaproteobacteria Methyloversatilis ASV 3cd78,,,,,,
11,3fd6c347c11a5b617aa14d287da36e43,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Pseudaeromonas pectinilytica,3fd6c347c11a5b617aa14d287da36e43,#4fc2b3,,,3fd6c,Gammaproteobacteria Aeromonas ASV 3fd6c,,,,,,
12,46b3406ef4b0f624f7f0fd5407cf9a95,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,46b3406ef4b0f624f7f0fd5407cf9a95,#48b1da,,,46b34,Gammaproteobacteria Vibrio ASV 46b34,,,,,,
15,67ca51316eef6b2c724576f1784f8fcd,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,67ca51316eef6b2c724576f1784f8fcd,#df7f81,,,67ca5,Alphaproteobacteria Hyphomonas ASV 67ca5,,,,,,
16,696c19c72e85c4f4e260771c6f28957e,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured Bacteroidetes/Chlorobi group bacterium,696c19c72e85c4f4e260771c6f28957e,#a3ae68,,,696c1,Bacteroidia Cryomorphaceae ASV 696c1,,,,,,
17,6f94b05c8ba821b221ff3e57f3637312,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,,6f94b05c8ba821b221ff3e57f3637312,#4d65a5,,,6f94b,Gammaproteobacteria Hydrogenophaga ASV 6f94b,,,,,,
18,72ceb780c4a419f55a1839f39a95d20a,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,72ceb780c4a419f55a1839f39a95d20a,#4b71e5,,,72ceb,Gammaproteobacteria Methylotenera ASV 72ceb,,,,,,
19,7744dfc55a8a5b71f0c50ad9092a6910,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,7744dfc55a8a5b71f0c50ad9092a6910,#c5392e,,,7744d,Alphaproteobacteria Rhodobacteraceae ASV 7744d,,,,,,
20,78ba222b6597ac3c1cb9edb756a735bf,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,,78ba222b6597ac3c1cb9edb756a735bf,#817bd6,,,78ba2,Gammaproteobacteria Cellvibrio ASV 78ba2,,,,,,
21,7b5c2176966637b4c157ca8c93139695,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,7b5c2176966637b4c157ca8c93139695,#82bf6f,,,7b5c2,Campylobacteria Arcobacter ASV 7b5c2,,,,,,
22,7e7d9b6e08ad4ed61273211699baee69,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,7e7d9b6e08ad4ed61273211699baee69,#e68061,,,7e7d9,Alphaproteobacteria Rhodobacteraceae ASV 7e7d9,,,,,,
25,88fc69b86967c9be5c2ac8f06893fd3d,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Azospirillaceae,Azospirillum,Azospirillum picis,88fc69b86967c9be5c2ac8f06893fd3d,#9f4c28,,,88fc6,Alphaproteobacteria Azospirillum ASV 88fc6,,,,,,
26,923fc4c1a3c40e8ee3a455a2e54fbfff,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,923fc4c1a3c40e8ee3a455a2e54fbfff,#b17235,,,923fc,Alphaproteobacteria Rhizobium ASV 923fc,,,,,,
27,96c756a8bbb8ea9aaba180b9a5fd6444,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,,96c756a8bbb8ea9aaba180b9a5fd6444,#9662dc,,,96c75,Gammaproteobacteria Xanthomonadaceae ASV 96c75,,,,,,
28,9906c629d9eba14db577c3ec338afafe,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,,,9906c629d9eba14db577c3ec338afafe,#bf88da,,,9906c,Gammaproteobacteria Rhodocyclaceae ASV 9906c,,,,,,
29,c4debfffb5552abc5445848e898e9b3b,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,c4debfffb5552abc5445848e898e9b3b,#b344b8,,,c4deb,Gammaproteobacteria Methylotenera ASV c4deb,,,,,,
30,c7d5a0b6f33de55db33b5cf13f49da1f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,,c7d5a0b6f33de55db33b5cf13f49da1f,#e18c2b,,,c7d5a,Alphaproteobacteria Hyphomonas ASV c7d5a,,,,,,
31,c896f589fe8122f53922dec0f3b818cd,Bacteria,Proteobacteria,Alphaproteobacteria,,,,,c896f589fe8122f53922dec0f3b818cd,#dd9f54,,,c896f,Alphaproteobacteria  ASV c896f,,,,,,
32,cae834c0c8ece68298a10b0d9ef11ed6,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured organism,cae834c0c8ece68298a10b0d9ef11ed6,#627037,,,cae83,Bacteroidia Cryomorphaceae ASV cae83,,,,,,
33,daa79e85e79ce738671891283821b23d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,,daa79e85e79ce738671891283821b23d,#d4a771,,,daa79,Alphaproteobacteria Pseudorhodobacter ASV daa79,,,,,,
34,dfa4024993b2772bac9172cae6b7ce33,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,,dfa4024993b2772bac9172cae6b7ce33,#934993,,,dfa40,Gammaproteobacteria Methylotenera ASV dfa40,,,,,,
35,e96be20c155b93c31a23ea5cc2fd01cd,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,e96be20c155b93c31a23ea5cc2fd01cd,#e273d2,,,e96be,Gammaproteobacteria Methylophilus ASV e96be,,,,,,
36,efc35a2abf6cf34053250ba69f3779d1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Zoogloea,uncultured Rhodocyclaceae bacterium,efc35a2abf6cf34053250ba69f3779d1,#bb6da1,,,efc35,Gammaproteobacteria Zoogloea ASV efc35,,,,,,
37,f19bad1c62889e65ce10b474d217ad40,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,f19bad1c62889e65ce10b474d217ad40,#886b2c,,,f19ba,Alphaproteobacteria Rhodobacteraceae ASV f19ba,,,,,,
38,f7e8ddeb6d6ab6d068f03cc6cdd317a2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oceanobacter,,f7e8ddeb6d6ab6d068f03cc6cdd317a2,#914574,,,f7e8d,Gammaproteobacteria Oceanobacter ASV f7e8d,,,,,,
39,fbc540eeabaebbbcb4e9ebecfaf2f073,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,uncultured soil bacterium,uncultured soil bacterium,fbc540eeabaebbbcb4e9ebecfaf2f073,#87bb37,,,fbc54,Bacteroidia NS11-12 marine group ASV fbc54,,,,,,
40,fbc59ceaed3195e704bfa8c234e92efe,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Candidatus Aquirestis,,fbc59ceaed3195e704bfa8c234e92efe,#4c902c,,,fbc59,Bacteroidia Candidatus Aquirestis ASV fbc59,,,,,,
41,fc169a62076539bcbb44364586da6a81,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,,fc169a62076539bcbb44364586da6a81,#e78eb9,,,fc169,Gammaproteobacteria Methylophilus ASV fc169,,,,,,
42,fe8ecaf6c385a878bee7096c51125295,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,fe8ecaf6c385a878bee7096c51125295,#4cc65a,,,fe8ec,Campylobacteria Arcobacter ASV fe8ec,,,,,,
,,,,,,,,,,,,,,,,,,,,